,Candidate,Party,Votes,Constituency
1920,THATI VENKATESWARLU S/O VEERASWAMI THATI,Independent,1714,Telangana - Aswaraopeta 
1921,DR. BHUKYA PRASADA RAO,Bharatiya Janata Party,1303,Telangana - Aswaraopeta 
1922,GUGOLOTHU RAMULU,Pyramid Party of India,882,Telangana - Aswaraopeta 
1923,KANNEBOINA VENKATA NARSAIAH,Gondvana Gantantra Party,481,Telangana - Aswaraopeta 
1924,BANOTH RAMESH,Bahujan Samaj Party,460,Telangana - Aswaraopeta 
1925,KANITHI LAKSHMANA RAO,Independent,429,Telangana - Aswaraopeta 
1926,AMGOTHU KRISHNA,Independent,284,Telangana - Aswaraopeta 
1927,MOOD BALAJI,Bahujan Mukti Party,275,Telangana - Aswaraopeta 
1928,None of the Above,None of the Above,2053,Telangana - Aswaraopeta 
1929,PODEM VEERAIAH,Indian National Congress,47746,Telangana - Bhadrachalam 
1930,TELLAM VENKATA RAO,Telangana Rashtra Samithi,35961,Telangana - Bhadrachalam 
1931,MIDIYAM BABU RAO,Communist Party of India  (Marxist),14228,Telangana - Bhadrachalam 
1932,PANDRA HEMASUNDAR,Independent,4523,Telangana - Bhadrachalam 
1933,KUNJA SATYAVATHI,Bharatiya Janata Party,1824,Telangana - Bhadrachalam 
1934,RAMESH BABU BHUKYA,Pyramid Party of India,1119,Telangana - Bhadrachalam 
1935,CHELE ANUSHA,Independent,835,Telangana - Bhadrachalam 
1936,PUNEM PRADEEP KUMAR,Republican Party of India,816,Telangana - Bhadrachalam 
1937,KARAM NAVEEN,Independent,698,Telangana - Bhadrachalam 
1938,GUNDU SARATH BABU,Bahujan Samaj Party,589,Telangana - Bhadrachalam 
1939,None of the Above,None of the Above,2106,Telangana - Bhadrachalam 
