,Candidate,Party,Votes,Constituency
324,RAJNEESH PAWAIYA,Bahujan Mukti Party,265,Madhya Pradesh - GOHAD 
325,JITENDRA ( BANTI KHATIK),Samajwadi Party,233,Madhya Pradesh - GOHAD 
326,MAHENDRA,Jan Adhikar Party,228,Madhya Pradesh - GOHAD 
327,None of the Above,None of the Above,982,Madhya Pradesh - GOHAD 
328,BHARAT SINGH KUSHWAH,Bharatiya Janata Party,51033,Madhya Pradesh - GWALIOR RURAL
329,SAHAB SINGH GURJAR,Bahujan Samaj Party,49516,Madhya Pradesh - GWALIOR RURAL
330,MADAN KUSHWAH,Indian National Congress,38199,Madhya Pradesh - GWALIOR RURAL
331,PHOOL SINGH BARAIYA,Bahujan Sangharshh Dal,7698,Madhya Pradesh - GWALIOR RURAL
332,BALVEER SINGH BAGHEL,Aam Aadmi Party,2689,Madhya Pradesh - GWALIOR RURAL
333,MONU YADAV,Independent,790,Madhya Pradesh - GWALIOR RURAL
334,BHAGWANDAS,Independent,709,Madhya Pradesh - GWALIOR RURAL
335,RAMSIYA PARIHAR,Rashtriya Rakshak Morcha,602,Madhya Pradesh - GWALIOR RURAL
336,DOLEE SHARMA,AARAKSHAN VIRODHI PARTY,522,Madhya Pradesh - GWALIOR RURAL
337,SUNEEL SHARMA,Rashtriya Sanyukt Samaj Party,483,Madhya Pradesh - GWALIOR RURAL
338,RAMU VERMA,Independent,447,Madhya Pradesh - GWALIOR RURAL
339,RAMVEER SINGH RORA,Samajwadi Party,417,Madhya Pradesh - GWALIOR RURAL
340,ALABEL SINGH,Independent,394,Madhya Pradesh - GWALIOR RURAL
341,BHAGAVAN LAL,Independent,280,Madhya Pradesh - GWALIOR RURAL
342,ASHUTOSH GOSWAMI,Independent,276,Madhya Pradesh - GWALIOR RURAL
343,None of the Above,None of the Above,1349,Madhya Pradesh - GWALIOR RURAL
344,PRADHUMAN SINGH TOMAR,Indian National Congress,92055,Madhya Pradesh - GWALIOR
345,JAI BHAN SINGH PAWAIYA,Bharatiya Janata Party,71011,Madhya Pradesh - GWALIOR
346,ENG. SAVITRI KATARIYA,Bahujan Samaj Party,4596,Madhya Pradesh - GWALIOR
347,KULDEEP BATHAM (BILLU BHAIYA),Aam Aadmi Party,1742,Madhya Pradesh - GWALIOR
348,ASHA RAVINDRA RATHORE,Independent,981,Madhya Pradesh - GWALIOR
349,RAJVEER SINGH DHAKAR,Independent,762,Madhya Pradesh - GWALIOR
350,DHEERAJ YADAV,Samajwadi Party,435,Madhya Pradesh - GWALIOR
351,MAHESH KOLI,Independent,408,Madhya Pradesh - GWALIOR
352,ANIL KUMAR GUPTA,Sapaks Party,402,Madhya Pradesh - GWALIOR
353,RAM SINGH BHADAURIYA,Independent,389,Madhya Pradesh - GWALIOR
354,SHRI RAM GOYAL,Jai Lok Party,280,Madhya Pradesh - GWALIOR
355,VIKRAM SINGH,Independent,257,Madhya Pradesh - GWALIOR
356,KIRANLATA /BADAM SINGH RAJPUT,Bhartiya Apna Adhikar Party,170,Madhya Pradesh - GWALIOR
357,VISHAL SINGH BHADORIA,Independent,165,Madhya Pradesh - GWALIOR
358,KRISHNA KUMAR SHARMA,Rashtriya Rakshak Morcha,163,Madhya Pradesh - GWALIOR
359,CHANDRAHAS SINGH TOMAR,Rashtravadi Party (Bharat),152,Madhya Pradesh - GWALIOR
360,SHRAVAN KUMAR SHARMA(SHASHTRI),Bhartiya Jan Yug Party,143,Madhya Pradesh - GWALIOR
361,SAMEER BHAI,Independent,137,Madhya Pradesh - GWALIOR
362,KAUSTUBH SHARMA ADVOCATE (MAHANT),AARAKSHAN VIRODHI PARTY,119,Madhya Pradesh - GWALIOR
363,HARIOM KUSHWAH,Rashtriya Samanta Dal,111,Madhya Pradesh - GWALIOR
364,VISHNU KANT SHARMA (ANNA),Independent,89,Madhya Pradesh - GWALIOR
365,None of the Above,None of the Above,1109,Madhya Pradesh - GWALIOR
366,MUNNALAL GOYAL (MUNNA BHAIYA),Indian National Congress,90133,Madhya Pradesh - GWALIOR EAST 
367,SATISH SINGH SIKARWAR,Bharatiya Janata Party,72314,Madhya Pradesh - GWALIOR EAST 
368,BHURY SINGH,Bahujan Samaj Party,5446,Madhya Pradesh - GWALIOR EAST 
369,AMIT DUBEY,Sapaks Party,1219,Madhya Pradesh - GWALIOR EAST 
370,MANEEKSHA SINGH TOMAR,Aam Aadmi Party,854,Madhya Pradesh - GWALIOR EAST 
371,BHUVNESH LOVELY TOMAR,Independent,437,Madhya Pradesh - GWALIOR EAST 
372,DR. ANIL KUMAR SHRIVASTAVA,Rashtriya Rakshak Morcha,400,Madhya Pradesh - GWALIOR EAST 
373,SMT MEENAKSHI JAIN,Independent,340,Madhya Pradesh - GWALIOR EAST 
374,NAMAN KUMAR NAYAK,Independent,246,Madhya Pradesh - GWALIOR EAST 
375,NARESH KUMAR SINGH,Independent,180,Madhya Pradesh - GWALIOR EAST 
376,BRANDAVAN PRJAPTI,Bharatiya Prajashakti Party,166,Madhya Pradesh - GWALIOR EAST 
377,None of the Above,None of the Above,1873,Madhya Pradesh - GWALIOR EAST 
378,PRAVEEN PATHAK,Indian National Congress,56369,Madhya Pradesh - GWALIOR SOUTH
379,NARAYAN SINGH KUSHWAH,Bharatiya Janata Party,56248,Madhya Pradesh - GWALIOR SOUTH
380,SAMEEKSHA GUPTA,Independent,30745,Madhya Pradesh - GWALIOR SOUTH
381,ASEEM SHAH,Bahujan Samaj Party,3098,Madhya Pradesh - GWALIOR SOUTH
382,COMRADE RACHNA AGRAWAL,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),1147,Madhya Pradesh - GWALIOR SOUTH
383,KU. ANUPAMA SINGH DANDOTIYA ADVOCATE,Sapaks Party,807,Madhya Pradesh - GWALIOR SOUTH
384,DILEEP MISHRA,Aam Aadmi Party,646,Madhya Pradesh - GWALIOR SOUTH
385,SAMEER BHAI,Independent,491,Madhya Pradesh - GWALIOR SOUTH
386,PREM SINGH KUSHWAH (PREMU),Jan Adhikar Party,269,Madhya Pradesh - GWALIOR SOUTH
387,GAJENDRA  SINGH KUSHWAH,Rashtriya Rakshak Morcha,250,Madhya Pradesh - GWALIOR SOUTH
388,LAXMAN  SONI,Akhil Bharat Hindu Mahasabha,179,Madhya Pradesh - GWALIOR SOUTH
389,JAGDISH TOMAR,Independent,178,Madhya Pradesh - GWALIOR SOUTH
390,RAKESH DHAKAD,Independent,172,Madhya Pradesh - GWALIOR SOUTH
391,RASHID KHAN ABBASI,Independent,156,Madhya Pradesh - GWALIOR SOUTH
392,"ANAND SINGH KUSHWAH ""RAMAYANI""",Independent,125,Madhya Pradesh - GWALIOR SOUTH
393,None of the Above,None of the Above,1550,Madhya Pradesh - GWALIOR SOUTH
394,LAKHAN SINGH YADAV,Indian National Congress,66439,Madhya Pradesh - BHITARWAR
395,ANOOP MISHRA,Bharatiya Janata Party,54309,Madhya Pradesh - BHITARWAR
396,"VISHVJIT ""BEENU PATEL""",Bahujan Samaj Party,18728,Madhya Pradesh - BHITARWAR
397,GUDDU BHAIYA @ RAGHVENDRA SINGH TOMAR,Independent,9154,Madhya Pradesh - BHITARWAR
398,BHURI,Bhartiya Veer Dal,1029,Madhya Pradesh - BHITARWAR
399,"HARI SAHARIYA ""ADIWASI""",Independent,1016,Madhya Pradesh - BHITARWAR
400,BAGAT SINGH RAWAT,Independent,775,Madhya Pradesh - BHITARWAR
401,KALYAN SINGH KUSHWAH,Rashtriya Samanta Dal,735,Madhya Pradesh - BHITARWAR
402,SHAKUNTLA CHAUDHARY,Aam Aadmi Party,453,Madhya Pradesh - BHITARWAR
403,TARA SINGH,Rashtriya Rakshak Morcha,419,Madhya Pradesh - BHITARWAR
404,GURVINDER SINGH GILL,Jan Sangharsh Virat Party,418,Madhya Pradesh - BHITARWAR
405,CHHAVI RAM BAGHEL,Independent,375,Madhya Pradesh - BHITARWAR
406,DHYANENDRA SHARMA (KHADDAR PACHOURA),Sapaks Party,331,Madhya Pradesh - BHITARWAR
407,TEJPAL SINGH RAWAT TONY BHAIYA,Samajwadi Party,329,Madhya Pradesh - BHITARWAR
408,SURESH BAGHEL,Jan Adhikar Party,252,Madhya Pradesh - BHITARWAR
409,None of the Above,None of the Above,1325,Madhya Pradesh - BHITARWAR
410,IMARTI DEVI,Indian National Congress,90598,Madhya Pradesh - DABARA 
411,KAPTAN SINGH SEHSARI,Bharatiya Janata Party,33152,Madhya Pradesh - DABARA 
412,P.S. MANDELIYA,Bahujan Samaj Party,13155,Madhya Pradesh - DABARA 
413,SMT. SATYA PRAKASHI PARSEDIYA,Independent,2963,Madhya Pradesh - DABARA 
414,DINESH KUMAR,Shiv Sena,2260,Madhya Pradesh - DABARA 
415,JITENDRA ARYA,Communist Party of India  (Marxist),1559,Madhya Pradesh - DABARA 
416,RAMVATI SHAKYA,Aam Aadmi Party,1387,Madhya Pradesh - DABARA 
417,HARDAS SHAKYA  ADVOCATE,Independent,575,Madhya Pradesh - DABARA 
418,AVTAR SINGH BIJOUL,Rashtriya Rakshak Morcha,521,Madhya Pradesh - DABARA 
419,ER. SATYENDRA SENGAR VIDROHI,Independent,519,Madhya Pradesh - DABARA 
420,PURUSHOTTAM BAUDHD,Independent,229,Madhya Pradesh - DABARA 
421,JAY PRAKASH MOURYA,Independent,182,Madhya Pradesh - DABARA 
422,None of the Above,None of the Above,2389,Madhya Pradesh - DABARA 
423,GHANSHYAM SINGH,Indian National Congress,64810,Madhya Pradesh - SEWDA
424,RADHELAL BAGHEL,Bharatiya Janata Party,31542,Madhya Pradesh - SEWDA
425,LAKHAN SINGH YADAV,Bahujan Samaj Party,18006,Madhya Pradesh - SEWDA
426,PARINEETA RAJE (BETI RAJA),Aam Aadmi Party,2472,Madhya Pradesh - SEWDA
427,HOLKAR RISHAPAL  SINGH  BAGHEL,Independent,987,Madhya Pradesh - SEWDA
428,RUDRA PRATAP SINGH,Rashtriya Rakshak Morcha,757,Madhya Pradesh - SEWDA
429,RAM KUMAR,Independent,450,Madhya Pradesh - SEWDA
430,DR. NIRAJ GUPTA,Independent,418,Madhya Pradesh - SEWDA
431,VAIDH RAMKUMAR GUPTA URAF VIDHAYAK JI,Jan Adhikar Party,409,Madhya Pradesh - SEWDA
432,HARDAS KUSHAWA,Samajwadi Party,314,Madhya Pradesh - SEWDA
433,RAMJI LAL KUSHWAH,Bhartiya Shakti Chetna Party,306,Madhya Pradesh - SEWDA
434,RAJARAM,Independent,282,Madhya Pradesh - SEWDA
435,SONU SHARMA  PANDOKHAR SARKAR,Sanjhi Virasat Party,256,Madhya Pradesh - SEWDA
436,BRAJESH KUMAR  BANSHKAR,Independent,192,Madhya Pradesh - SEWDA
437,None of the Above,None of the Above,1753,Madhya Pradesh - SEWDA
438,RAKSHA SANTRAM SARONIYA,Indian National Congress,73569,Madhya Pradesh - BHANDER 
439,RAJNI PRAJAPATI,Bharatiya Janata Party,33673,Madhya Pradesh - BHANDER 
440,SMT. KIRAN BALA,Bahujan Samaj Party,2641,Madhya Pradesh - BHANDER 
441,NARAYAN SINGH (BABUJI),Bahujan Sangharshh Dal,2322,Madhya Pradesh - BHANDER 
442,KARAN SINGH,Bhartiya Shakti Chetna Party,1165,Madhya Pradesh - BHANDER 
443,UMESH KUMAR PRAJAPATI,Independent,1040,Madhya Pradesh - BHANDER 
444,GHANSHYAM (KORI),Sanjhi Virasat Party,876,Madhya Pradesh - BHANDER 
445,KHETAAN SINGH PARIHAR,Independent,809,Madhya Pradesh - BHANDER 
446,UTTAM SINGH,Independent,446,Madhya Pradesh - BHANDER 
447,ASHOK DANDOTIYA,Independent,345,Madhya Pradesh - BHANDER 
448,GHANSHYAM VERMA,Aam Aadmi Party,313,Madhya Pradesh - BHANDER 
449,None of the Above,None of the Above,1227,Madhya Pradesh - BHANDER 
450,DR.NAROTTAM MISHRA,Bharatiya Janata Party,72209,Madhya Pradesh - DATIA
451,BHARTI RAJENDRA,Indian National Congress,69553,Madhya Pradesh - DATIA
452,AJAD KHAN (MURGA WALE CHACHAA ),Jan Adhikar Party,983,Madhya Pradesh - DATIA
453,PANDIT MAHESH CHANDRA SHASTRI,Independent,979,Madhya Pradesh - DATIA
454,RAMGOPAL,Rashtriya Rakshak Morcha,445,Madhya Pradesh - DATIA
455,HARI SINGH (HARIKRISHNA),Aam Aadmi Party,393,Madhya Pradesh - DATIA
456,SUGREEB SINGH KUSHWAH,Bhartiya Apna Adhikar Party,304,Madhya Pradesh - DATIA
457,MAHANT RAMDOOT DAS,Shiv Sena,234,Madhya Pradesh - DATIA
458,AHIR RAMSAHAY YADAV,Bharatiya Prajashakti Party,185,Madhya Pradesh - DATIA
459,None of the Above,None of the Above,2085,Madhya Pradesh - DATIA
460,JASMANT JATAVE CHITREE,Indian National Congress,64201,Madhya Pradesh - KARERA 
461,RAJKUMAR OMPRAKASH KHATIK,Bharatiya Janata Party,49377,Madhya Pradesh - KARERA 
462,PRAGILAL JATAV,Bahujan Samaj Party,40026,Madhya Pradesh - KARERA 
463,KHATIK RAMESH PRASAD,Sapaks Party,9098,Madhya Pradesh - KARERA 
464,SHALIKARAM PARIHAR,Independent,1239,Madhya Pradesh - KARERA 
465,LACHHI RAM KOLI,Rashtriya Shoshit Samaj Party,1161,Madhya Pradesh - KARERA 
466,KARANSINGH,Aajad Bharat Party (Democratic),1097,Madhya Pradesh - KARERA 
467,ARJUNA LAL,Aam Aadmi Party,1056,Madhya Pradesh - KARERA 
468,SANTOSH,Independent,1033,Madhya Pradesh - KARERA 
469,AVITAN KOLI,Rashtriya Rakshak Morcha,809,Madhya Pradesh - KARERA 
470,BALRAM,Independent,701,Madhya Pradesh - KARERA 
471,RAJU,Independent,539,Madhya Pradesh - KARERA 
472,MANISHA VERMA,Shiv Sena,514,Madhya Pradesh - KARERA 
473,DHARMARAM BARAR,Bharatiya Rashtriya Mazdoor Dal,488,Madhya Pradesh - KARERA 
474,ASHOK SINGH KASHYAP,Jan Adhikar Party,263,Madhya Pradesh - KARERA 
475,None of the Above,None of the Above,1850,Madhya Pradesh - KARERA 
476,SURESH DHAKAD [RATHKHEDA],Indian National Congress,60654,Madhya Pradesh - POHARI 
477,KAILASH KUSHWAH,Bahujan Samaj Party,52736,Madhya Pradesh - POHARI 
478,PRAHLAD BHARTI,Bharatiya Janata Party,37268,Madhya Pradesh - POHARI 
479,RAKESH RAJAK,Independent,2271,Madhya Pradesh - POHARI 
480,AJMER SINGH KOTIYA,Jan Adhikar Party,1404,Madhya Pradesh - POHARI 
481,RAJENDRA SEHRIYA,Independent,1346,Madhya Pradesh - POHARI 
482,MANOJ,Independent,876,Madhya Pradesh - POHARI 
483,HANUMANT SINGH,Aajad Bharat Party (Democratic),773,Madhya Pradesh - POHARI 
484,TARACHAND,Independent,761,Madhya Pradesh - POHARI 
485,ADVOCATE RANJEET SINGH RAWAT,Swarnim Bharat Inquilab Party,686,Madhya Pradesh - POHARI 
486,SATENDR,Independent,593,Madhya Pradesh - POHARI 
487,ASHA RAM,Bahujan Sangharshh Dal,589,Madhya Pradesh - POHARI 
488,CHANDRA PRAKASH,Independent,553,Madhya Pradesh - POHARI 
489,HARKISHAN KUSHWAHA @ DEALAR SINGH,Rashtriya Lok Samta Party,526,Madhya Pradesh - POHARI 
490,RAM KUMAR,Independent,473,Madhya Pradesh - POHARI 
491,RAJGURU YADAV,Samajwadi Party,436,Madhya Pradesh - POHARI 
492,AJAY SINGH KUSHWAH,Independent,383,Madhya Pradesh - POHARI 
493,NARENDRA VYAS,Aam Aadmi Party,377,Madhya Pradesh - POHARI 
494,RAMSAHAY SHARMA,Bharatiya Rashtriya Mazdoor Dal,332,Madhya Pradesh - POHARI 
495,HARI SINGH,Independent,201,Madhya Pradesh - POHARI 
496,None of the Above,None of the Above,428,Madhya Pradesh - POHARI 
497,YASHODHARA RAJE SCINDIA,Bharatiya Janata Party,84570,Madhya Pradesh - SHIVPURI
498,SIDDHARTH LADHA,Indian National Congress,55822,Madhya Pradesh - SHIVPURI
499,MOHAMMAD IRSHAD RAYEEN,Bahujan Samaj Party,13889,Madhya Pradesh - SHIVPURI
500,BRAJESH SINGH TOMAR (PATRKAR),Sapaks Party,2147,Madhya Pradesh - SHIVPURI
501,KOMAL PRASAD KOLI,Rashtriya Rakshak Morcha,1522,Madhya Pradesh - SHIVPURI
502,HAJARI LAL KOTIYA (RATHOR),Independent,1040,Madhya Pradesh - SHIVPURI
503,SISHUPAL JATAV,Independent,758,Madhya Pradesh - SHIVPURI
504,VIRENDRA ADIVASI,Independent,590,Madhya Pradesh - SHIVPURI
505,PEEYUSH SHARMA AD.,Aam Aadmi Party,576,Madhya Pradesh - SHIVPURI
506,PREM NARAYAN KUSHWAH,Independent,395,Madhya Pradesh - SHIVPURI
507,RAJENDRA SINGH CHOUDHARY,Bahujan Sangharshh Dal,382,Madhya Pradesh - SHIVPURI
508,RAJKUMAR,Independent,255,Madhya Pradesh - SHIVPURI
509,PUNJAB SINGH JATAV,Independent,237,Madhya Pradesh - SHIVPURI
510,None of the Above,None of the Above,2018,Madhya Pradesh - SHIVPURI
511,K. P. SINGH,Indian National Congress,91463,Madhya Pradesh - PICHHORE
512,PREETAM LODHI,Bharatiya Janata Party,88788,Madhya Pradesh - PICHHORE
513,LALARAM YADAV (JAMUNDHANA),Bahujan Samaj Party,4488,Madhya Pradesh - PICHHORE
514,SUNIL SHARMA,Independent,2495,Madhya Pradesh - PICHHORE
515,JITENDRA SINGH MAJHI,Pragatisheel Manav Samaj Party,1984,Madhya Pradesh - PICHHORE
516,SHANKAR SINGH,Independent,721,Madhya Pradesh - PICHHORE
517,SANJAY SHARMA,Independent,586,Madhya Pradesh - PICHHORE
518,RAMRATAN,Independent,288,Madhya Pradesh - PICHHORE
519,HARIGYAN,Bahujan Sangharshh Dal,280,Madhya Pradesh - PICHHORE
520,KESHAV SINGH,Independent,185,Madhya Pradesh - PICHHORE
521,MAHARAJ KUAR YADAV,Independent,179,Madhya Pradesh - PICHHORE
522,DWARAKA PRASAD YADAV,Independent,160,Madhya Pradesh - PICHHORE
523,K. P. KUSHWAHA,Independent,145,Madhya Pradesh - PICHHORE
524,KRISHNA PAL SINGH,Independent,132,Madhya Pradesh - PICHHORE
525,None of the Above,None of the Above,2443,Madhya Pradesh - PICHHORE
526,BIRENDRA RAGHUVANSHI,Bharatiya Janata Party,72450,Madhya Pradesh - KOLARAS 
527,MAHENDRA RAMSINGH YADAV,Indian National Congress,71730,Madhya Pradesh - KOLARAS 
528,ASHOK SHARMA (GURUJI),Bahujan Samaj Party,16483,Madhya Pradesh - KOLARAS 
529,DHANIRAM,Bahujan Sangharshh Dal,2018,Madhya Pradesh - KOLARAS 
530,MAHENDRA SINGH YADAV,Independent,1688,Madhya Pradesh - KOLARAS 
531,MANGAL SINGH,Independent,1577,Madhya Pradesh - KOLARAS 
532,BHANU PRAKASH,Aajad Bharat Party (Democratic),1466,Madhya Pradesh - KOLARAS 
533,MANISH,Independent,852,Madhya Pradesh - KOLARAS 
534,VINOD KUMAR RAGHUWANSHI,Sapaks Party,850,Madhya Pradesh - KOLARAS 
535,SATYENDRA KUMAR BHARGAV,Shiv Sena,386,Madhya Pradesh - KOLARAS 
536,NAVAL SINGH,Independent,329,Madhya Pradesh - KOLARAS 
537,BHAIYALAL PARIHAR,Aam Aadmi Party,296,Madhya Pradesh - KOLARAS 
538,KAMLESH PURI,Independent,246,Madhya Pradesh - KOLARAS 
539,None of the Above,None of the Above,1674,Madhya Pradesh - KOLARAS 
540,MAHENDRA SINGH SISODIYA (SANJU BHAIYA),Indian National Congress,64598,Madhya Pradesh - BAMORI 
541,"BRIJMOHAN SINGH ""AZAD""",Bharatiya Janata Party,36678,Madhya Pradesh - BAMORI 
542,KANHAIYALAL RAMESHWAR AGRAWAL,Independent,28488,Madhya Pradesh - BAMORI 
543,DR OMPRAKASH TRIPATHI,Bahujan Samaj Party,7176,Madhya Pradesh - BAMORI 
544,RAMSWAROOP BHIL,Independent,4281,Madhya Pradesh - BAMORI 
545,SHRIMATI SUMAN DEVI YOGENDRA SHARMA,Communist Party of India,3383,Madhya Pradesh - BAMORI 
546,DEVENDRA KUMAR UPADHYAY (MAHIDPUR WALE),Independent,3111,Madhya Pradesh - BAMORI 
547,GUDDI BAI LODHA,Independent,1644,Madhya Pradesh - BAMORI 
548,SEVAK RAM KUSHWAH,Pichhara Samaj Party United,1022,Madhya Pradesh - BAMORI 
549,BACHCHHRAJ SINGH YADAV (GRAM DUMAWAN),Samajwadi Party,777,Madhya Pradesh - BAMORI 
550,GIRRAJ DHAKAD,Aam Aadmi Party,652,Madhya Pradesh - BAMORI 
551,PT. LAKHAN SHASTRI,Sapaks Party,562,Madhya Pradesh - BAMORI 
552,RAMCHARAN DHAKAD,Rashtriya Jankranti Party,489,Madhya Pradesh - BAMORI 
553,BABULAL SEN (HARIPUR),Akhil Bhartiya Gondwana Party,407,Madhya Pradesh - BAMORI 
554,SHYAM-SUNDAR,Independent,398,Madhya Pradesh - BAMORI 
555,BALAKRAM SAHERIYA,Bhartiya Panchyat Party,369,Madhya Pradesh - BAMORI 
556,TORANSINGH GAUR (KHERUA),Kranti Janshakti Party,328,Madhya Pradesh - BAMORI 
557,None of the Above,None of the Above,1132,Madhya Pradesh - BAMORI 
558,GOPILAL JATAV,Bharatiya Janata Party,84149,Madhya Pradesh - GUNA 
559,CHANDRA PRAKASH AHIRWAR (BANTI),Indian National Congress,50482,Madhya Pradesh - GUNA 
560,SURESH KUMAR ROSHAN (MASTAR),Bahujan Samaj Party,4169,Madhya Pradesh - GUNA 
561,JAGDISH KHATIK,Sapaks Party,2593,Madhya Pradesh - GUNA 
562,RAMESH SENDO SWARAJ MANCH,Independent,914,Madhya Pradesh - GUNA 
563,SEEMA RAI,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),826,Madhya Pradesh - GUNA 
564,NARAYAN LAL CHIDAR (MAIYYAR BABU JI),Independent,574,Madhya Pradesh - GUNA 
565,KULDEEP ALHAPURIYA (BABA),Independent,425,Madhya Pradesh - GUNA 
566,"PRAMOD PANT ""RINKU PURWAIYA""",Shiv Sena,421,Madhya Pradesh - GUNA 
567,KOMAL PRASAD SHAKYA,Independent,296,Madhya Pradesh - GUNA 
568,NAVAL KISHOR DAMLE,Independent,287,Madhya Pradesh - GUNA 
569,ASHOK JATAV 'THEKEDAR',Rashtriya Lok Samta Party,233,Madhya Pradesh - GUNA 
570,HARISH CHAND CHHIRAWAT,Bhartiya Panchyat Party,197,Madhya Pradesh - GUNA 
571,VIJAY AHIRWAR,Aam Aadmi Party,175,Madhya Pradesh - GUNA 
572,None of the Above,None of the Above,2390,Madhya Pradesh - GUNA 
573,LAKSHMAN SINGH,Indian National Congress,81908,Madhya Pradesh - CHACHODA
574,MAMTA  MEENA,Bharatiya Janata Party,72111,Madhya Pradesh - CHACHODA
575,GANESHRAM LODHI,Bhartiya Panchyat Party,2327,Madhya Pradesh - CHACHODA
576,RAHUL KUMAR BODDHY,Bahujan Samaj Party,1997,Madhya Pradesh - CHACHODA
577,MAMTA BAI,Independent,1414,Madhya Pradesh - CHACHODA
578,SHIVNARAYAN,Independent,872,Madhya Pradesh - CHACHODA
579,VIKRAM SINGH LOVEWANSHI (LODHA),Aam Aadmi Party,655,Madhya Pradesh - CHACHODA
580,MAMTA,Independent,649,Madhya Pradesh - CHACHODA
581,None of the Above,None of the Above,2569,Madhya Pradesh - CHACHODA
582,JAIVARDHAN SINGH,Indian National Congress,98268,Madhya Pradesh - RAGHOGARH
583,BHUPENDRA  SINGH RAGHUWANSHI,Bharatiya Janata Party,51571,Madhya Pradesh - RAGHOGARH
584,BANWARI LAL AHIRWAR,Bahujan Samaj Party,3630,Madhya Pradesh - RAGHOGARH
585,BHUPENDRA SINGH,Independent,1029,Madhya Pradesh - RAGHOGARH
586,SMT. RANJANA KUSHWAHA,Rashtriya Lok Samta Party,957,Madhya Pradesh - RAGHOGARH
587,BHOOPENDRA  SINGH,Independent,458,Madhya Pradesh - RAGHOGARH
588,ROOP SINGH DHAKAD,Aam Aadmi Party,446,Madhya Pradesh - RAGHOGARH
589,DOULA,Independent,386,Madhya Pradesh - RAGHOGARH
590,None of the Above,None of the Above,2683,Madhya Pradesh - RAGHOGARH
591,"JAJPAL SINGH ""JAJJI""",Indian National Congress,65750,Madhya Pradesh - ASHOK NAGAR 
592,ER. LADDURAM KORI,Bharatiya Janata Party,56020,Madhya Pradesh - ASHOK NAGAR 
593,BALKRISHN,Bahujan Samaj Party,9559,Madhya Pradesh - ASHOK NAGAR 
594,DEVILAL THEKEDAR,Sapaks Party,1462,Madhya Pradesh - ASHOK NAGAR 
595,JAGDISH BHANDARI (AHIRWAR),Bahujan Sangharshh Dal,1090,Madhya Pradesh - ASHOK NAGAR 
596,JEEVANDAS,Independent,613,Madhya Pradesh - ASHOK NAGAR 
597,V P SINGH JATAV,Independent,558,Madhya Pradesh - ASHOK NAGAR 
598,SHYAM SHAKYA,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),520,Madhya Pradesh - ASHOK NAGAR 
599,RAJ BAI,Mahanwadi Party,345,Madhya Pradesh - ASHOK NAGAR 
600,DAYALUDAS SHAKYA,Bhartiya Panchyat Party,287,Madhya Pradesh - ASHOK NAGAR 
601,LALLIRAM,Aam Aadmi Party,259,Madhya Pradesh - ASHOK NAGAR 
602,None of the Above,None of the Above,2004,Madhya Pradesh - ASHOK NAGAR 
603,GOPAL SINGH CHAUHAN (DAGGI RAJA),Indian National Congress,45106,Madhya Pradesh - CHANDERI
604,BHUPENDRA DWIVEDI,Bharatiya Janata Party,40931,Madhya Pradesh - CHANDERI
605,RAO RAJKUMAR SINGH YADAV,Bahujan Samaj Party,34302,Madhya Pradesh - CHANDERI
606,LALARAM RICKWAR,Independent,1719,Madhya Pradesh - CHANDERI
607,RITESH JAIN AZAAD,Aam Aadmi Party,1038,Madhya Pradesh - CHANDERI
608,PRAKASH SINGH,Sapaks Party,925,Madhya Pradesh - CHANDERI
609,RAMDAYAL GWAL,Independent,905,Madhya Pradesh - CHANDERI
610,HARGOVIND LODHI,Independent,874,Madhya Pradesh - CHANDERI
611,JAIPAL SINGH YADAV IMLOODA,Samajwadi Party,835,Madhya Pradesh - CHANDERI
612,DHYANCHAND SIMRAIYA,Independent,781,Madhya Pradesh - CHANDERI
613,M. JAVED ( JAPANI ),Independent,619,Madhya Pradesh - CHANDERI
614,ATAL LALU UDHAM SINGH,Rashtriya Vanchit Party,593,Madhya Pradesh - CHANDERI
615,DEEPENDRA SINGH,Rashtriya Sanyukt Samaj Party,552,Madhya Pradesh - CHANDERI
616,SATYENDRA SINGH KUSHWAH,Aajad Bharat Party (Democratic),524,Madhya Pradesh - CHANDERI
617,GAJRAJ,Independent,322,Madhya Pradesh - CHANDERI
618,JASWANT SINGH YADAV,Independent,303,Madhya Pradesh - CHANDERI
619,"RAVINDRA SINGH YADAV ""RADHY""",Bhartiya Panchyat Party,166,Madhya Pradesh - CHANDERI
620,None of the Above,None of the Above,884,Madhya Pradesh - CHANDERI
621,BRAJENDRA SINGH YADAV,Indian National Congress,55346,Madhya Pradesh - MUNGAOLI
622,DR.KRISHNA PAL SINGH (DR.K.P.),Bharatiya Janata Party,53210,Madhya Pradesh - MUNGAOLI
623,KAMAL SINGH (KAMALESH DANGI),Bahujan Samaj Party,14202,Madhya Pradesh - MUNGAOLI
624,DEVENDRA LODHI (BELAI),Aam Aadmi Party,3999,Madhya Pradesh - MUNGAOLI
625,MALKEET SINGH SANDHU,Sapaks Party,3459,Madhya Pradesh - MUNGAOLI
626,GANESH RAM KEWAT KHAIR KHADI,Rashtriya mahan Gantantra Party,1253,Madhya Pradesh - MUNGAOLI
