,Candidate,Party,Votes,Constituency
2443,MADAN LAL,Indian National Congress,84152,Rajasthan - Dag 
2444,VIKRAM LAL DASAURIYA,Ambedkarite Party of India,2875,Rajasthan - Dag 
2445,RAMSWAROOP,Bahujan Samaj Party,2078,Rajasthan - Dag 
2446,JAY PRAKASH,Bharatiya Yuva Shakti,1071,Rajasthan - Dag 
2447,None of the Above,None of the Above,4247,Rajasthan - Dag 
2448,VASUNDHARA RAJE,Bharatiya Janata Party,116484,Rajasthan - Jhalrapatan
2449,MANVENDRA SINGH,Indian National Congress,81504,Rajasthan - Jhalrapatan
2450,SHREELAL,Independent,7490,Rajasthan - Jhalrapatan
2451,GAYAS AHMED KHAN,Bahujan Samaj Party,2684,Rajasthan - Jhalrapatan
2452,GOVERDHAN DANGI,Aam Aadmi Party,1602,Rajasthan - Jhalrapatan
2453,VIRAM LAL,Independent,1215,Rajasthan - Jhalrapatan
2454,MOHAMMAD NASIR,Independent,567,Rajasthan - Jhalrapatan
2455,KARAN SHARMA,Independent,497,Rajasthan - Jhalrapatan
2456,None of the Above,None of the Above,3125,Rajasthan - Jhalrapatan
2457,NARENDRA NAGAR,Bharatiya Janata Party,85984,Rajasthan - Khanpur
2458,SURESH,Indian National Congress,83719,Rajasthan - Khanpur
2459,ARJUN SINGH GAUR,Independent,5534,Rajasthan - Khanpur
2460,MOHAN LAL,Bahujan Samaj Party,1756,Rajasthan - Khanpur
2461,PRAMOD KUMAR TIWARI,Independent,1334,Rajasthan - Khanpur
2462,NANDKISHOR SHARMA,Aam Aadmi Party,1334,Rajasthan - Khanpur
2463,RATANLAL,Independent,715,Rajasthan - Khanpur
2464,KANHAIYALAL,Independent,463,Rajasthan - Khanpur
2465,None of the Above,None of the Above,2415,Rajasthan - Khanpur
2466,GOVIND PRASAD,Bharatiya Janata Party,110215,Rajasthan - Manohar thana
2467,KAILASH CHAND,Indian National Congress,88346,Rajasthan - Manohar thana
2468,CHANDR SINGH,Bahujan Samaj Party,1793,Rajasthan - Manohar thana
2469,MANISHA MEENA,Independent,1479,Rajasthan - Manohar thana
2470,ABID AHMED,Rashtriya Jankranti Party,749,Rajasthan - Manohar thana
2471,HARISHANKAR,Bharatiya Rashtravadi Samanta Party,675,Rajasthan - Manohar thana
2472,None of the Above,None of the Above,3117,Rajasthan - Manohar thana
